date,S1_A,S1_C,S2_A,S2_C,S3_A,S3_B,S4_A,S4_D,S5_A,S5_C,S6_A,S6_D
2025-07-18,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9824507573681147,1.5789301719098454,1.843014457808057,1.9759050512202252,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-19,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9832046740619618,1.5789926529630953,1.8421680122215147,1.9761592920854627,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-20,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9861667885631409,1.5791177463339783,1.8411663712918578,1.9740999144006943,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-21,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9763735095221004,1.5790713016943803,1.8435791385935076,1.9780529066473465,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-22,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9779285550765722,1.5790713016943803,1.8478857210254707,1.9820889781582938,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-23,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.97932749391362,1.5790713016943803,1.8452630755191657,1.9794910098291034,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-24,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9768867083363961,1.5782447628297416,1.8427521348746019,1.9760796539973144,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-25,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.976820866380263,1.5781983438661291,1.843086200905302,1.9768683364472197,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-26,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9773677968978718,1.5781983438661291,1.8421268463493534,1.9757220632966954,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-27,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9810629762157017,1.5781983438661291,1.8401399120788207,1.9713345377962912,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-28,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9855712847266693,1.5781983438661291,1.842734314516508,1.9746561553198794,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-29,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9840678089818913,1.5781983438661291,1.8403753045809776,1.9710794118401258,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-30,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9849272231256352,1.5781983438661291,1.8396864304529987,1.9704148102407923,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-31,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9887735812380847,1.5781983438661291,1.8414522870204921,1.9723061488274953,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-08-01,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9874956514883881,1.5781983438661291,1.8454813477954473,1.9781752771358116,1.0660363662668062,1.0547998747601177,1.1676325628602404,1.1754355435751789
2025-08-04,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9942676840025026,1.5781983438661291,1.8481639307979847,1.9810639168933095,1.0664728504674126,1.0552317582255446,1.1676325628602404,1.1754355435751789
2025-08-05,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9978860316720168,1.5781983438661291,1.8529897510000246,1.9875224730993155,1.0685415738006292,1.0572786763062398,1.1676325628602404,1.1754355435751789
2025-08-06,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9974120296853213,1.5781983438661291,1.8565017486349502,1.992461653505906,1.0685101461072821,1.0572475798745837,1.1650345144709786,1.1728201331131876
2025-08-07,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.998848502619969,1.5781983438661291,1.8699869350527942,2.006993022095623,1.0685101461072821,1.0572475798745837,1.161410885690558,1.172624731620492
2025-08-08,1.1790264991608133,1.199630515090058,1.2035854879398913,1.2266806959312535,2.000432476006351,1.579445909656955,1.8688919994027282,2.0058178651102274,1.0685101461072821,1.0572475798745837,1.1595617473984545,1.172467067396871
2025-08-11,1.178428322147099,1.1995246653387266,1.2029394513933847,1.2266085382432574,2.005565442179335,1.584961890366803,1.8695473747536413,2.0065212570599145,1.0685101461072821,1.0572475798745837,1.1582764666484981,1.1724325830713593
2025-08-12,1.1789652681597336,1.2000329695604857,1.2034875658011321,1.227131360651254,2.0010054930307017,1.5851385828506719,1.8679751986840498,2.0049568999089002,1.0685101461072821,1.0572475798745837,1.1584299955128134,1.1724325830713593
2025-08-13,1.1776036645273205,1.1986117394549582,1.2020976410209758,1.2262567393763153,2.002193359338026,1.587026823241425,1.8716954152362002,2.0074690401413013,1.0685101461072821,1.0572475798745837,1.1571680529829076,1.1724325830713593
2025-08-14,1.1766094289929367,1.1975997670747824,1.2010827255392196,1.225862311010785,2.009804163867907,1.5882585427652984,1.8740292850973286,2.009385546035777,1.0685101461072821,1.0572475798745837,1.156397212971971,1.1724325830713593
2025-08-15,1.1790427154304424,1.200076462568611,1.2035666239632516,1.2274512989766586,1.9948635161612618,1.5819684559516356,1.8652018818049498,2.002525169278017,1.0685101461072821,1.0572475798745837,1.1583177465795365,1.1724325830713593
2025-08-16,1.1793716808320291,1.2004112966083595,1.203902431794984,1.2275378826692582,1.9933009243142141,1.5812842043436737,1.8635958969032576,2.0009422025806023,1.0685101461072821,1.0572475798745837,1.1582836784105195,1.1724325830713593
2025-08-17,1.177348470101058,1.1983519924412764,1.2018371385895956,1.2263659645280527,2.008267791976211,1.5862744349882492,1.8690512505027421,2.004889334144952,1.0685101461072821,1.0572475798745837,1.1582836784105195,1.1724325830713593
