strategy,approach,ticker,test_year,horizon
S4_Supertrend,C,ALRS,2023,h22
S4_Supertrend,C,ALRS,2024,h1
S4_Supertrend,C,ALRS,2025,h1
S4_Supertrend,D,ALRS,2022,h5
S4_Supertrend,D,ALRS,2023,h5
S4_Supertrend,D,ALRS,2024,h1
S4_Supertrend,D,ALRS,2025,h1
S5_PivotPoints,B,ALRS,2022,h1
S5_PivotPoints,B,ALRS,2023,h1
S5_PivotPoints,B,ALRS,2024,h1
S5_PivotPoints,B,ALRS,2025,h1
S5_PivotPoints,C,ALRS,2022,?
S5_PivotPoints,C,ALRS,2023,?
S5_PivotPoints,C,ALRS,2024,?
S5_PivotPoints,C,ALRS,2025,?
S5_PivotPoints,D,ALRS,2022,h1
S5_PivotPoints,D,ALRS,2023,h1
S5_PivotPoints,D,ALRS,2024,h1
S5_PivotPoints,D,ALRS,2025,h22
S6_VWAP,B,ALRS,2022,h1
S6_VWAP,B,ALRS,2023,h1
S6_VWAP,B,ALRS,2024,h1
S6_VWAP,B,ALRS,2025,h1
S6_VWAP,C,ALRS,2022,h5
S6_VWAP,C,ALRS,2023,h5
S6_VWAP,C,ALRS,2024,?
S6_VWAP,C,ALRS,2025,?
S6_VWAP,D,ALRS,2022,h1
S6_VWAP,D,ALRS,2023,h22
S6_VWAP,D,ALRS,2024,h1
S6_VWAP,D,ALRS,2025,h1
S1_MeanRev,B,MGNT,2022,h1
S1_MeanRev,B,MGNT,2023,h1
S1_MeanRev,B,MGNT,2024,h1
S1_MeanRev,B,MGNT,2025,h1
S1_MeanRev,C,MGNT,2022,h1
S1_MeanRev,C,MGNT,2023,h22
S1_MeanRev,C,MGNT,2024,h22
S1_MeanRev,C,MGNT,2025,?
S1_MeanRev,D,MGNT,2022,h1
S1_MeanRev,D,MGNT,2023,h1
S1_MeanRev,D,MGNT,2024,h22
S1_MeanRev,D,MGNT,2025,h5
S2_Bollinger,B,MGNT,2022,h1
S2_Bollinger,B,MGNT,2023,h1
S2_Bollinger,B,MGNT,2024,h22
S2_Bollinger,B,MGNT,2025,h1
S2_Bollinger,C,MGNT,2022,h1
S2_Bollinger,C,MGNT,2023,?
S2_Bollinger,C,MGNT,2024,h1
S2_Bollinger,C,MGNT,2025,?
S2_Bollinger,D,MGNT,2022,h1
S2_Bollinger,D,MGNT,2023,h1
S2_Bollinger,D,MGNT,2024,h22
S2_Bollinger,D,MGNT,2025,h5
S3_Donchian,B,MGNT,2022,h1
S3_Donchian,B,MGNT,2023,h1
S3_Donchian,B,MGNT,2024,h1
S3_Donchian,B,MGNT,2025,h1
S3_Donchian,C,MGNT,2022,h22
S3_Donchian,C,MGNT,2023,h22
S3_Donchian,C,MGNT,2024,h22
S3_Donchian,C,MGNT,2025,h1
S3_Donchian,D,MGNT,2022,h22
S3_Donchian,D,MGNT,2023,h22
S3_Donchian,D,MGNT,2024,h5
S3_Donchian,D,MGNT,2025,h5
S4_Supertrend,B,MGNT,2022,h22
S4_Supertrend,B,MGNT,2023,h1
S4_Supertrend,B,MGNT,2024,h22
S4_Supertrend,B,MGNT,2025,h22
S4_Supertrend,C,MGNT,2022,h22
S4_Supertrend,C,MGNT,2023,h1
S4_Supertrend,C,MGNT,2024,h1
S4_Supertrend,C,MGNT,2025,h1
S4_Supertrend,D,MGNT,2022,h5
S4_Supertrend,D,MGNT,2023,h5
S4_Supertrend,D,MGNT,2024,h5
S4_Supertrend,D,MGNT,2025,h5
S5_PivotPoints,B,MGNT,2022,h1
S5_PivotPoints,B,MGNT,2023,h1
S5_PivotPoints,B,MGNT,2024,h1
S5_PivotPoints,B,MGNT,2025,h1
S5_PivotPoints,C,MGNT,2022,?
S5_PivotPoints,C,MGNT,2023,?
S5_PivotPoints,C,MGNT,2024,?
S5_PivotPoints,C,MGNT,2025,?
S5_PivotPoints,D,MGNT,2022,h1
S5_PivotPoints,D,MGNT,2023,h1
S5_PivotPoints,D,MGNT,2024,h1
S5_PivotPoints,D,MGNT,2025,h1
S6_VWAP,B,MGNT,2022,h1
S6_VWAP,B,MGNT,2023,h1
S6_VWAP,B,MGNT,2024,h1
S6_VWAP,B,MGNT,2025,h1
S6_VWAP,C,MGNT,2022,?
S6_VWAP,C,MGNT,2023,?
S6_VWAP,C,MGNT,2024,?
S6_VWAP,C,MGNT,2025,?
S6_VWAP,D,MGNT,2022,h22
S6_VWAP,D,MGNT,2023,h22
S6_VWAP,D,MGNT,2024,h22
S6_VWAP,D,MGNT,2025,h1
S1_MeanRev,B,MOEX,2022,h22
S1_MeanRev,B,MOEX,2023,h5
S1_MeanRev,B,MOEX,2024,h22
S1_MeanRev,B,MOEX,2025,h5
S1_MeanRev,C,MOEX,2022,h1
S1_MeanRev,C,MOEX,2023,h22
S1_MeanRev,C,MOEX,2024,h5
S1_MeanRev,C,MOEX,2025,h22
S1_MeanRev,D,MOEX,2022,h1
S1_MeanRev,D,MOEX,2023,h22
S1_MeanRev,D,MOEX,2024,h22
S1_MeanRev,D,MOEX,2025,h5
S2_Bollinger,B,MOEX,2022,h22
S2_Bollinger,B,MOEX,2023,h22
S2_Bollinger,B,MOEX,2024,h22
S2_Bollinger,B,MOEX,2025,h22
S2_Bollinger,C,MOEX,2022,h5
S2_Bollinger,C,MOEX,2023,h1
S2_Bollinger,C,MOEX,2024,?
S2_Bollinger,C,MOEX,2025,h5
S2_Bollinger,D,MOEX,2022,h1
S2_Bollinger,D,MOEX,2023,h22
S2_Bollinger,D,MOEX,2024,h22
S2_Bollinger,D,MOEX,2025,h5
S3_Donchian,B,MOEX,2022,h1
S3_Donchian,B,MOEX,2023,h1
S3_Donchian,B,MOEX,2024,h1
S3_Donchian,B,MOEX,2025,h1
S3_Donchian,C,MOEX,2022,h5
S3_Donchian,C,MOEX,2023,h22
S3_Donchian,C,MOEX,2024,h22
S3_Donchian,C,MOEX,2025,h22
S3_Donchian,D,MOEX,2022,h1
S3_Donchian,D,MOEX,2023,h1
S3_Donchian,D,MOEX,2024,h1
S3_Donchian,D,MOEX,2025,h1
S4_Supertrend,B,MOEX,2022,h1
S4_Supertrend,B,MOEX,2023,h1
S4_Supertrend,B,MOEX,2024,h1
S4_Supertrend,B,MOEX,2025,h5
S4_Supertrend,C,MOEX,2022,h5
S4_Supertrend,C,MOEX,2023,h5
S4_Supertrend,C,MOEX,2024,h22
S4_Supertrend,C,MOEX,2025,h5
S4_Supertrend,D,MOEX,2022,h1
S4_Supertrend,D,MOEX,2023,h1
S4_Supertrend,D,MOEX,2024,h1
S4_Supertrend,D,MOEX,2025,h1
S5_PivotPoints,B,MOEX,2022,h1
S5_PivotPoints,B,MOEX,2023,h1
S5_PivotPoints,B,MOEX,2024,h5
S5_PivotPoints,B,MOEX,2025,h5
S5_PivotPoints,C,MOEX,2022,?
S5_PivotPoints,C,MOEX,2023,?
S5_PivotPoints,C,MOEX,2024,?
S5_PivotPoints,C,MOEX,2025,?
S5_PivotPoints,D,MOEX,2022,h1
S5_PivotPoints,D,MOEX,2023,h5
S5_PivotPoints,D,MOEX,2024,h1
S5_PivotPoints,D,MOEX,2025,h1
S6_VWAP,B,MOEX,2022,h1
S6_VWAP,B,MOEX,2023,h1
S6_VWAP,B,MOEX,2024,h1
S6_VWAP,B,MOEX,2025,h1
S6_VWAP,C,MOEX,2022,h1
S6_VWAP,C,MOEX,2023,h22
S6_VWAP,C,MOEX,2024,h5
S6_VWAP,C,MOEX,2025,h5
S6_VWAP,D,MOEX,2022,h22
S6_VWAP,D,MOEX,2023,h22
S6_VWAP,D,MOEX,2024,h22
S6_VWAP,D,MOEX,2025,h22
S1_MeanRev,B,LKOH,2022,h1
S1_MeanRev,B,LKOH,2023,h1
S1_MeanRev,B,LKOH,2024,h22
S1_MeanRev,B,LKOH,2025,h22
S1_MeanRev,C,LKOH,2022,h5
S1_MeanRev,C,LKOH,2023,h1
S1_MeanRev,C,LKOH,2024,h22
S1_MeanRev,C,LKOH,2025,h22
S1_MeanRev,D,LKOH,2022,h22
S1_MeanRev,D,LKOH,2023,h22
S1_MeanRev,D,LKOH,2024,h1
S1_MeanRev,D,LKOH,2025,h1
S2_Bollinger,B,LKOH,2022,h1
S2_Bollinger,B,LKOH,2023,h1
S2_Bollinger,B,LKOH,2024,h1
S2_Bollinger,B,LKOH,2025,h22
S2_Bollinger,C,LKOH,2022,h22
S2_Bollinger,C,LKOH,2023,?
S2_Bollinger,C,LKOH,2024,h5
S2_Bollinger,C,LKOH,2025,h22
S2_Bollinger,D,LKOH,2022,h5
S2_Bollinger,D,LKOH,2023,h1
S2_Bollinger,D,LKOH,2024,h5
S2_Bollinger,D,LKOH,2025,h5
S3_Donchian,B,LKOH,2022,h22
S3_Donchian,B,LKOH,2023,h22
S3_Donchian,B,LKOH,2024,h22
S3_Donchian,B,LKOH,2025,h1
S3_Donchian,C,LKOH,2022,h1
S3_Donchian,C,LKOH,2023,h1
S3_Donchian,C,LKOH,2024,h1
S3_Donchian,C,LKOH,2025,h1
S3_Donchian,D,LKOH,2022,h1
S3_Donchian,D,LKOH,2023,h1
S3_Donchian,D,LKOH,2024,h1
S3_Donchian,D,LKOH,2025,h1
S4_Supertrend,B,LKOH,2022,h5
S4_Supertrend,B,LKOH,2023,h22
S4_Supertrend,B,LKOH,2024,h22
S4_Supertrend,B,LKOH,2025,h22
S4_Supertrend,C,LKOH,2022,h1
S4_Supertrend,C,LKOH,2023,h5
S4_Supertrend,C,LKOH,2024,h1
S4_Supertrend,C,LKOH,2025,h5
S4_Supertrend,D,LKOH,2022,h22
S4_Supertrend,D,LKOH,2023,h1
S4_Supertrend,D,LKOH,2024,h5
S4_Supertrend,D,LKOH,2025,h1
S5_PivotPoints,B,LKOH,2022,h1
S5_PivotPoints,B,LKOH,2023,h1
S5_PivotPoints,B,LKOH,2024,h1
S5_PivotPoints,B,LKOH,2025,h1
S5_PivotPoints,C,LKOH,2022,?
S5_PivotPoints,C,LKOH,2023,?
S5_PivotPoints,C,LKOH,2024,?
S5_PivotPoints,C,LKOH,2025,?
S5_PivotPoints,D,LKOH,2022,h1
S5_PivotPoints,D,LKOH,2023,h1
S5_PivotPoints,D,LKOH,2024,h1
S5_PivotPoints,D,LKOH,2025,h1
S6_VWAP,B,LKOH,2022,h5
S6_VWAP,B,LKOH,2023,h5
S6_VWAP,B,LKOH,2024,h5
S6_VWAP,B,LKOH,2025,h5
S6_VWAP,C,LKOH,2022,h1
S6_VWAP,C,LKOH,2023,h5
S6_VWAP,C,LKOH,2024,h1
S6_VWAP,C,LKOH,2025,h1
S6_VWAP,D,LKOH,2022,h22
S6_VWAP,D,LKOH,2023,h22
S6_VWAP,D,LKOH,2024,h1
S6_VWAP,D,LKOH,2025,h5
S1_MeanRev,B,MTLR,2022,h1
S1_MeanRev,B,MTLR,2023,h22
S1_MeanRev,B,MTLR,2024,h1
S1_MeanRev,B,MTLR,2025,h1
S1_MeanRev,C,MTLR,2022,h1
S1_MeanRev,C,MTLR,2023,h22
S1_MeanRev,C,MTLR,2024,h5
