strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S2_Bollinger,C,InvVol,1.9277,2.58,-0.7,net_0.06
S2_Bollinger,C,MaxSharpe,2.6991,5.03,-0.95,net_0.06
S2_Bollinger,C,MinVar,3.0968,4.18,-0.47,net_0.06
S2_Bollinger,D,EW,3.0187,3.83,-0.63,net_0.06
S2_Bollinger,D,InvVol,2.0784,2.38,-0.4,net_0.06
S2_Bollinger,D,MaxSharpe,2.1425,3.21,-0.93,net_0.06
S2_Bollinger,D,MinVar,2.9048,3.42,-0.33,net_0.06
S3_Donchian,A,EW,1.0439,16.21,-14.91,net_0.06
S3_Donchian,A,InvVol,0.8755,11.22,-15.05,net_0.06
S3_Donchian,A,MaxSharpe,0.8015,13.63,-17.75,net_0.06
S3_Donchian,A,MinVar,0.8968,12.71,-18.38,net_0.06
S3_Donchian,B,EW,2.134,10.59,-2.27,net_0.06
S3_Donchian,B,InvVol,1.8666,8.53,-3.51,net_0.06
S3_Donchian,B,MaxSharpe,1.6212,9.02,-3.37,net_0.06
S3_Donchian,B,MinVar,2.1506,10.71,-2.28,net_0.06
S3_Donchian,C,EW,1.6268,16.67,-8.34,net_0.06
S3_Donchian,C,InvVol,1.8083,11.4,-6.22,net_0.06
S3_Donchian,C,MaxSharpe,1.4011,14.81,-8.23,net_0.06
S3_Donchian,C,MinVar,1.7124,16.51,-7.29,net_0.06
S3_Donchian,D,EW,1.8327,19.49,-9.78,net_0.06
S3_Donchian,D,InvVol,1.7465,13.44,-8.98,net_0.06
S3_Donchian,D,MaxSharpe,1.6955,19.77,-10.88,net_0.06
S3_Donchian,D,MinVar,1.9103,17.77,-8.07,net_0.06
S4_Supertrend,A,EW,1.2552,14.63,-9.08,net_0.06
S4_Supertrend,A,InvVol,1.1856,9.7,-6.9,net_0.06
S4_Supertrend,A,MaxSharpe,0.9185,12.27,-18.56,net_0.06
S4_Supertrend,A,MinVar,1.3172,14.64,-8.05,net_0.06
S4_Supertrend,B,EW,2.0264,5.76,-1.15,net_0.06
S4_Supertrend,B,InvVol,1.3606,4.55,-1.41,net_0.06
S4_Supertrend,B,MaxSharpe,1.775,5.21,-1.92,net_0.06
S4_Supertrend,B,MinVar,2.0229,5.76,-1.16,net_0.06
S4_Supertrend,C,EW,1.8604,13.95,-3.55,net_0.06
S4_Supertrend,C,InvVol,1.4593,7.45,-3.11,net_0.06
S4_Supertrend,C,MaxSharpe,1.5731,12.78,-4.54,net_0.06
S4_Supertrend,C,MinVar,1.8989,13.98,-4.22,net_0.06
S4_Supertrend,D,EW,2.4371,16.63,-5.77,net_0.06
S4_Supertrend,D,InvVol,2.0004,11.02,-4.74,net_0.06
S4_Supertrend,D,MaxSharpe,1.9796,15.33,-6.54,net_0.06
S4_Supertrend,D,MinVar,2.5238,15.98,-5.51,net_0.06
S5_PivotPoints,A,EW,1.6429,1.79,-0.49,net_0.06
S5_PivotPoints,A,InvVol,1.244,1.44,-0.31,net_0.06
S5_PivotPoints,A,MaxSharpe,1.0362,1.42,-1.08,net_0.06
S5_PivotPoints,A,MinVar,1.6118,1.71,-0.45,net_0.06
S5_PivotPoints,B,EW,1.9414,2.2,-0.31,net_0.06
S5_PivotPoints,B,InvVol,1.2603,1.37,-0.28,net_0.06
S5_PivotPoints,B,MaxSharpe,1.7413,2.75,-0.81,net_0.06
S5_PivotPoints,B,MinVar,1.7317,1.85,-0.26,net_0.06
S5_PivotPoints,C,EW,1.9341,1.38,-0.33,net_0.06
S5_PivotPoints,C,InvVol,1.3028,1.1,-0.26,net_0.06
S5_PivotPoints,C,MaxSharpe,1.0746,1.02,-0.94,net_0.06
S5_PivotPoints,C,MinVar,1.8678,1.42,-0.3,net_0.06
S5_PivotPoints,D,EW,1.6502,1.68,-0.34,net_0.06
S5_PivotPoints,D,InvVol,1.1876,1.25,-0.28,net_0.06
S5_PivotPoints,D,MaxSharpe,0.891,1.08,-0.81,net_0.06
S5_PivotPoints,D,MinVar,1.6415,1.63,-0.24,net_0.06
S6_VWAP,A,EW,2.695,3.62,-1.28,net_0.06
S6_VWAP,A,InvVol,1.6428,2.08,-0.82,net_0.06
S6_VWAP,A,MaxSharpe,1.992,2.82,-1.57,net_0.06
S6_VWAP,A,MinVar,2.6616,3.68,-1.28,net_0.06
S6_VWAP,B,EW,2.867,3.64,-0.8,net_0.06
S6_VWAP,B,InvVol,1.854,1.86,-0.51,net_0.06
S6_VWAP,B,MaxSharpe,2.0219,2.56,-1.18,net_0.06
S6_VWAP,B,MinVar,2.8778,3.61,-0.66,net_0.06
S6_VWAP,C,EW,3.0367,3.59,-0.45,net_0.06
S6_VWAP,C,InvVol,1.752,2.04,-0.76,net_0.06
S6_VWAP,C,MaxSharpe,2.4388,3.03,-0.62,net_0.06
S6_VWAP,C,MinVar,2.9715,3.64,-0.45,net_0.06
S6_VWAP,D,EW,3.271,3.8,-0.74,net_0.06
S6_VWAP,D,InvVol,2.0108,2.48,-0.63,net_0.06
S6_VWAP,D,MaxSharpe,2.6818,3.32,-0.63,net_0.06
S6_VWAP,D,MinVar,3.2002,3.91,-0.74,net_0.06
