time,open,high,low,close,Volume
2015-08-24T11:00:00+03:00,71260,71870,71070,71427,2835187
2015-08-24T15:00:00+03:00,71426,72200,70750,71684,3331424
2015-08-24T19:00:00+03:00,71650,71650,70331,71249,1546441
2015-08-24T23:00:00+03:00,71247,71510,71187,71453,157068
2015-08-25T07:00:00+03:00,71480,71485,69892,70008,1528817
2015-08-25T11:00:00+03:00,70009,70428,69772,69901,2308437
2015-08-25T15:00:00+03:00,69901,69924,68581,69359,2924990
2015-08-25T19:00:00+03:00,69372,69884,69155,69727,810413
2015-08-25T23:00:00+03:00,69726,69900,69450,69484,162808
2015-08-26T07:00:00+03:00,69450,70372,68729,69865,1391407
2015-08-26T11:00:00+03:00,69866,70456,69682,70186,2270172
2015-08-26T15:00:00+03:00,70185,70300,69250,69765,2982667
2015-08-26T19:00:00+03:00,69700,69990,69300,69329,564094
2015-08-26T23:00:00+03:00,69324,69542,69310,69312,67928
2015-08-27T07:00:00+03:00,69309,69309,67306,67603,1738955
2015-08-27T11:00:00+03:00,67601,68070,67240,67699,2489403
2015-08-27T15:00:00+03:00,67700,68040,66134,66716,2825299
2015-08-27T19:00:00+03:00,66701,67324,66472,66589,1340398
2015-08-27T23:00:00+03:00,66589,66613,66346,66350,120987
2015-08-28T07:00:00+03:00,66345,67259,65705,67253,1222130
2015-08-28T11:00:00+03:00,67253,67716,66705,67461,2784506
2015-08-28T15:00:00+03:00,67461,67614,65404,65406,3022039
2015-08-28T19:00:00+03:00,65476,65790,65111,65647,858507
2015-08-28T23:00:00+03:00,65647,65760,65627,65697,36798
2015-08-31T07:00:00+03:00,65737,67399,65737,67390,1042084
2015-08-31T11:00:00+03:00,67390,67636,66900,67046,1891813
2015-08-31T15:00:00+03:00,67042,67747,65948,66190,3325424
2015-08-31T19:00:00+03:00,66050,66050,64005,64445,1934951
2015-08-31T23:00:00+03:00,64446,64784,64424,64566,118520
2015-09-01T07:00:00+03:00,64582,65977,64582,65844,1286737
2015-09-01T11:00:00+03:00,65844,65853,65024,65308,2117639
2015-09-01T15:00:00+03:00,65308,66878,65131,66740,3020090
2015-09-01T19:00:00+03:00,66750,67070,65850,66929,1029533
2015-09-01T23:00:00+03:00,66925,67150,66721,67150,156133
2015-09-02T07:00:00+03:00,67150,67490,66513,66982,964897
2015-09-02T11:00:00+03:00,66982,68200,66863,67647,2522038
2015-09-02T15:00:00+03:00,67646,68334,66784,67813,3446093
2015-09-02T19:00:00+03:00,67830,68218,66987,67157,1104427
2015-09-02T23:00:00+03:00,67156,67328,66885,67272,146258
2015-09-03T07:00:00+03:00,67209,67536,66969,67147,684044
2015-09-03T11:00:00+03:00,67146,67597,67075,67481,1454920
2015-09-03T15:00:00+03:00,67484,67917,66371,67063,3220556
2015-09-03T19:00:00+03:00,67095,67420,66722,67379,728223
2015-09-03T23:00:00+03:00,67379,67468,67258,67452,69422
2015-09-04T07:00:00+03:00,67464,68194,67464,67833,698457
2015-09-04T11:00:00+03:00,67830,67934,67538,67714,1219043
2015-09-04T15:00:00+03:00,67715,68016,67179,67530,2185779
2015-09-04T19:00:00+03:00,67553,68576,67553,68499,709835
2015-09-04T23:00:00+03:00,68502,68700,68457,68651,105854
2015-09-07T07:00:00+03:00,68684,68898,68313,68615,651353
2015-09-07T11:00:00+03:00,68616,68661,68256,68430,799978
2015-09-07T15:00:00+03:00,68431,69342,68365,69225,1222496
2015-09-07T19:00:00+03:00,69249,69475,69034,69339,362306
2015-09-07T23:00:00+03:00,69339,69362,69176,69246,44045
2015-09-08T07:00:00+03:00,69240,69240,68622,69110,761493
2015-09-08T11:00:00+03:00,69108,69213,68278,68390,1843078
2015-09-08T15:00:00+03:00,68387,69108,67830,68097,1447666
2015-09-08T19:00:00+03:00,68168,68424,67782,67831,571335
2015-09-08T23:00:00+03:00,67830,68130,67830,68091,79254
2015-09-09T07:00:00+03:00,68068,68068,67500,67682,608616
2015-09-09T11:00:00+03:00,67678,68289,67409,68177,1634653
2015-09-09T15:00:00+03:00,68177,68442,67850,68216,1894486
2015-09-09T19:00:00+03:00,68216,68616,67939,68570,557552
2015-09-09T23:00:00+03:00,68573,68678,68488,68635,99376
2015-09-10T07:00:00+03:00,68656,68980,68425,68456,622155
2015-09-10T11:00:00+03:00,68457,68500,68023,68278,1420749
2015-09-10T15:00:00+03:00,68277,68630,67550,67550,2009204
2015-09-10T19:00:00+03:00,67626,67968,67469,67656,549099
2015-09-10T23:00:00+03:00,67659,67815,67640,67759,47760
2015-09-11T07:00:00+03:00,67802,68162,67802,67975,505618
2015-09-11T11:00:00+03:00,67976,68279,67608,68136,1565203
2015-09-11T15:00:00+03:00,68139,68335,67624,67714,1685522
2015-09-11T19:00:00+03:00,67738,67863,67528,67811,441790
2015-09-11T23:00:00+03:00,67807,67993,67756,67970,62904
