time,close,Volume
2021-04-01,196.3,
2021-05-01,197.8,
2021-06-01,199.1,
2021-07-01,199.8,
2021-08-01,200.1,
2021-09-01,201.3,
2021-10-01,203.5,
2021-11-01,205.5,
2021-12-01,207.2,
2022-01-01,209.2,
2022-02-01,211.7,
2022-03-01,227.8,
2022-04-01,231.4,
2022-05-01,231.6,
2022-06-01,230.8,
2022-07-01,229.9,
2022-08-01,228.7,
2022-09-01,228.8,
2022-10-01,229.3,
2022-11-01,230.1,
2022-12-01,231.9,
2023-01-01,233.9,
2023-02-01,234.9,
2023-03-01,235.8,
2023-04-01,236.7,
2023-05-01,237.4,
2023-06-01,238.3,
2023-07-01,239.8,
2023-08-01,240.5,
2023-09-01,242.6,
2023-10-01,244.6,
2023-11-01,247.3,
2023-12-01,249.1,
2024-01-01,251.3,
2024-02-01,253,
2024-03-01,254,
2024-04-01,255.2,
2024-05-01,257.1,
2024-06-01,258.8,
2024-07-01,261.6,
2024-08-01,262.4,
2024-09-01,263.5,
2024-10-01,265.4,
2024-11-01,269.3,
2024-12-01,272.8,
2025-01-01,276.2,
2025-02-01,278.6,
2025-03-01,280.3,
2025-04-01,281.4,
2025-05-01,282.5,
2025-06-01,283.1,
2025-07-01,284.7,
2025-08-01,283.7,
2025-09-01,284.7,
2025-10-01,286.1,
2025-11-01,287.3,
2025-12-01,288.2,
