strategy,timeframe,category,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S1_MeanRev,hourly,Contrarian,MTSS,-0.4115,-6.61,16.06,-57.69,-0.1145,47.3,0.894,0.932,14.98,130.6,5.2,338
S1_MeanRev,hourly,Contrarian,NVTK,-0.6739,-2.83,4.21,-16.6,-0.1708,47.7,0.708,0.759,1.49,12.7,5.3,33
S1_MeanRev,hourly,Contrarian,OGKB,0.156,0.96,6.14,-13.56,0.0706,52.0,1.055,0.909,4.11,46.9,4.0,122
S1_MeanRev,hourly,Contrarian,PHOR,-0.1117,-0.86,7.69,-16.97,-0.0507,51.4,0.971,0.874,6.27,56.8,5.0,148
S1_MeanRev,hourly,Contrarian,RTKM,0.5803,5.94,10.23,-22.97,0.2585,50.9,1.088,0.993,19.59,162.4,5.6,412
S1_MeanRev,hourly,Contrarian,SBER,0.3518,7.53,21.4,-19.91,0.3781,46.1,1.511,1.735,2.6,20.7,5.7,54
S1_MeanRev,hourly,Contrarian,TATN,0.4395,2.03,4.61,-4.93,0.4107,49.0,1.232,1.198,2.49,17.3,6.5,45
S1_MeanRev,hourly,Contrarian,VTBR,-0.0753,-0.26,3.48,-15.1,-0.0174,54.2,0.963,0.794,1.42,12.7,5.1,33
S2_Bollinger,daily,Contrarian,AFLT,0.3345,1.95,5.83,-5.93,0.3287,51.5,1.256,1.182,5.78,4.4,6.6,10
S2_Bollinger,daily,Contrarian,ALRS,0.3159,2.7,8.54,-17.5,0.1542,45.7,1.416,1.682,3.06,3.1,5.0,7
S2_Bollinger,daily,Contrarian,HYDR,0.1559,1.84,11.81,-23.21,0.0793,51.3,1.073,0.98,13.84,9.5,7.2,22
S2_Bollinger,daily,Contrarian,IRAO,-0.6289,-6.48,10.3,-32.82,-0.1974,44.0,0.715,0.878,13.95,10.2,6.9,23
S2_Bollinger,daily,Contrarian,LKOH,0.0785,0.52,6.61,-9.61,0.054,49.1,1.045,1.063,9.98,5.5,8.8,13
S2_Bollinger,daily,Contrarian,LSRG,-0.4281,-3.24,7.57,-27.41,-0.1182,51.1,0.687,0.659,4.15,4.5,4.7,10
S2_Bollinger,daily,Contrarian,MGNT,0.5676,4.81,8.47,-8.11,0.5929,55.6,1.469,1.139,6.3,3.5,9.0,8
S2_Bollinger,daily,Contrarian,MOEX,-0.467,-3.48,7.44,-25.36,-0.137,44.7,0.644,0.798,4.12,3.5,5.9,8
S2_Bollinger,daily,Contrarian,MTLR,-0.9262,-10.33,11.15,-51.26,-0.2015,32.1,0.424,0.898,4.65,2.7,8.8,6
S2_Bollinger,daily,Contrarian,MTSS,-0.0374,-0.05,1.28,-3.27,-0.0146,40.0,0.937,1.405,0.88,0.4,10.0,1
S2_Bollinger,daily,Contrarian,NVTK,-0.8309,-15.94,19.18,-82.88,-0.1923,41.5,0.533,0.742,10.81,6.2,8.8,14
S2_Bollinger,daily,Contrarian,OGKB,-0.1982,-2.07,10.45,-27.05,-0.0766,59.2,0.813,0.561,4.31,4.4,4.9,10
S2_Bollinger,daily,Contrarian,PHOR,-0.1052,-1.25,11.85,-24.81,-0.0503,56.5,0.892,0.64,6.05,4.9,6.3,11
S2_Bollinger,daily,Contrarian,RTKM,0.2295,1.7,7.39,-12.22,0.1388,54.3,1.239,1.043,3.06,1.3,11.7,3
S2_Bollinger,daily,Contrarian,SBER,-1.0752,-11.56,10.75,-52.4,-0.2207,41.5,0.471,0.665,8.23,7.5,5.5,17
S2_Bollinger,daily,Contrarian,TATN,0.0819,0.83,10.2,-36.72,0.0227,49.5,1.052,1.052,8.16,8.0,5.2,18
