strategy,category,ticker,sharpe,annual_return,annual_vol,max_drawdown,calmar,win_rate,profit_factor,exposure,turnover,avg_trade_days,n_trades,n_days,n_active
S3_Donchian,Trend,LSRG,0.1706705837157647,0.03467351685592153,0.20316047499823933,-0.5537845505132463,0.06261192520410003,0.5106382978723404,1.072496753490365,0.23737373737373738,6.681818181818182,17.904761904761905,21,1584,376
S3_Donchian,Trend,MGNT,0.2401240057659013,0.05848437758830265,0.2435590619178639,-0.3800693085813143,0.15387819081368984,0.5155393053016454,1.0941597664779044,0.34316185696361357,10.117942283563362,17.09375,32,1594,547
S3_Donchian,Trend,MOEX,0.09881087582415715,0.01819063678493818,0.18409549184960225,-0.42582062368674345,0.04271901306104937,0.49514563106796117,1.0450334181920897,0.19385194479297366,11.54077791718946,8.35135135135135,37,1594,309
S3_Donchian,Trend,MTLR,0.16239689548527195,0.050477284581937606,0.31082665977759094,-0.9672786149403811,0.05218484498910255,0.4784688995215311,1.0639590306628786,0.26256281407035176,8.547738693467338,15.481481481481481,27,1592,418
S3_Donchian,Trend,MTSS,-0.22729313484082142,-0.046069850653364865,0.20268914274788208,-0.5245349195251938,-0.08782990214467903,0.515358361774744,0.9176957478735943,0.36785938480853736,9.966101694915254,18.903225806451612,31,1593,586
S3_Donchian,Trend,NVTK,-0.3781320713272243,-0.09483224780940033,0.2507913372080395,-0.7668492409115566,-0.12366478670132461,0.48541666666666666,0.8655651485893257,0.3018867924528302,12.362264150943396,12.307692307692308,39,1590,480
S3_Donchian,Trend,OGKB,-0.4449993971072714,-0.09981382457870927,0.22430103327678935,-1.0577892189816196,-0.09436078831924989,0.49884526558891457,0.8464577278083688,0.27267002518891686,8.569269521410579,16.037037037037038,27,1588,433
S3_Donchian,Trend,PHOR,-0.028436393092786047,-0.0037071457621654547,0.13036624406158992,-0.473353668664809,-0.00783166162548654,0.4837837837837838,0.9893275187611861,0.23241206030150754,8.231155778894472,14.23076923076923,26,1592,370
S3_Donchian,Trend,RTKM,0.04854661134616885,0.008910970336033261,0.18355494006558482,-0.2872824780191757,0.031018147704220463,0.48306997742663654,1.0171584155698106,0.2779171894604768,9.485570890840652,14.766666666666667,30,1594,443
S3_Donchian,Trend,SBER,0.5781938541925103,0.1667295768351021,0.28836276211886075,-0.3254541976035257,0.5122981300066535,0.5211864406779662,1.280885667135703,0.2961104140526976,8.062735257214555,18.153846153846153,26,1594,472
S3_Donchian,Trend,TATN,-0.19685851227711626,-0.0444301793753483,0.2256960029892143,-0.978195390550454,-0.04542055687907748,0.5212121212121212,0.927837515026831,0.310929648241206,10.447236180904524,15.0,33,1592,495
S3_Donchian,Trend,VTBR,0.3282448586447493,0.10964235752079056,0.33402612297868034,-0.6370779925913604,0.1721019385315955,0.48897795591182364,1.1513336243138528,0.31383647798742137,9.98490566037736,15.59375,32,1590,499
S4_Supertrend,Trend,AFLT,0.19906282681344414,0.0222861013789037,0.11195511354708924,-0.24869494840344844,0.08961219969273279,0.47560975609756095,1.1214311804575325,0.1028858218318695,3.7942283563362613,13.666666666666666,12,1594,164
S4_Supertrend,Trend,ALRS,0.11130068256341748,0.010049920112379812,0.09029522443991768,-0.24001872477539976,0.0418714003325538,0.35294117647058826,1.137812800527582,0.031994981179422836,2.8456712672521958,5.666666666666667,9,1594,51
S4_Supertrend,Trend,HYDR,-0.5755695562255799,-0.04885538689227408,0.08488181204831906,-0.39549614349841766,-0.12352936354857161,0.46,0.6741916989183968,0.09410288582183186,3.161856963613551,15.0,10,1594,150
S4_Supertrend,Trend,IRAO,0.04489955875730898,0.0025076054056049745,0.05584922157384842,-0.17056747336198075,0.014701545119820695,0.47474747474747475,1.032679221034461,0.062185929648241205,2.2160804020100504,14.142857142857142,7,1592,99
S4_Supertrend,Trend,LKOH,-0.009348583409528386,-0.0012855663773097643,0.13751456461301642,-0.40071900183025183,-0.003208149280263834,0.47572815533980584,0.9909747010636315,0.06461731493099122,2.8456712672521958,11.444444444444445,9,1594,103
S4_Supertrend,Trend,LSRG,0.03564867671334338,0.00312325777530652,0.08761216581532963,-0.16765831428880032,0.018628707968079312,0.4861111111111111,1.0360225872561468,0.045454545454545456,1.590909090909091,14.4,5,1584,72
S4_Supertrend,Trend,MGNT,0.8320632822403967,0.07885341232355506,0.09476852783508961,-0.12277343211993491,0.6422677199943774,0.5561224489795918,1.5088731273993816,0.12296110414052698,4.426599749058972,14.0,14,1594,196
S4_Supertrend,Trend,MOEX,0.5684705229597584,0.05669908241752153,0.09973970527498259,-0.15809773010241618,0.35863312130282765,0.5289855072463768,1.3941429854033698,0.08657465495608532,3.161856963613551,13.8,10,1594,138
S4_Supertrend,Trend,MTLR,-0.31665793309823936,-0.05168433415169721,0.16321818830183155,-0.6543229683217948,-0.07898902629729933,0.4444444444444444,0.7658522284533615,0.0678391959798995,3.1658291457286434,10.8,10,1592,108
S4_Supertrend,Trend,MTSS,0.39947921622012367,0.032224804846070265,0.08066703732670173,-0.09707526786554391,0.33195689854499183,0.4805194805194805,1.3033597281301603,0.09667294413057125,1.8983050847457628,25.666666666666668,6,1593,154
S4_Supertrend,Trend,NVTK,-0.07588209561753842,-0.008832009708909381,0.11639122031400598,-0.36290150767364554,-0.024337208642439528,0.5123152709359606,0.9641185925235646,0.12767295597484277,3.9622641509433962,16.916666666666668,12,1590,203
S4_Supertrend,Trend,OGKB,0.13448797923967246,0.010575866400990484,0.07863800512715803,-0.1753004765130086,0.06032993527091569,0.5393258426966292,1.1090404978660444,0.05604534005037783,2.53904282115869,11.125,8,1588,89
S4_Supertrend,Trend,PHOR,-0.12141407198190401,-0.016075025055150984,0.132398368597232,-0.31304209335509564,-0.051351001658797586,0.43902439024390244,0.8218123305489693,0.025753768844221106,2.532663316582915,5.125,8,1592,41
S4_Supertrend,Trend,RTKM,0.17888184911125785,0.01708617980167698,0.09551656518851175,-0.18592150355405976,0.09189996571165256,0.44366197183098594,1.1078522599676655,0.0890840652446675,3.161856963613551,14.2,10,1594,142
S4_Supertrend,Trend,SBER,0.1726676045479583,0.012628650690712562,0.07313850634445423,-0.157502691290339,0.08018053905779314,0.4891304347826087,1.1543372491738457,0.05771643663739021,3.7942283563362613,7.666666666666667,12,1594,92
S4_Supertrend,Trend,TATN,-0.009196323838742582,-0.0009749385702106919,0.10601394506176892,-0.24608917579635894,-0.003961728780047857,0.5542168674698795,0.9949586276707766,0.10427135678391959,3.64070351758794,13.833333333333334,12,1592,166
S4_Supertrend,Trend,VTBR,0.6328922458754043,0.05072855366108743,0.08015353955067135,-0.09364775437435038,0.541695356178041,0.5901639344262295,1.598806180452634,0.07672955974842767,2.218867924528302,17.428571428571427,7,1590,122
S5_Pivot,Range,AFLT,-0.2697117340760965,-0.03798198331751162,0.14082436364001644,-0.5388368275456489,-0.07048884073220456,0.5131964809384164,0.9003631590155161,0.21392722710163112,41.5784190715182,3.017699115044248,113,1594,341
S5_Pivot,Range,ALRS,-0.1409256607026439,-0.021139711355582246,0.15000611847538173,-0.3322480175544821,-0.06362629794206598,0.5055432372505543,0.9550338340285341,0.28293601003764113,49.324968632371395,3.608,125,1594,451
S5_Pivot,Range,HYDR,0.015036130077117136,0.0018303008305589437,0.12172685532591945,-0.34172322760409224,0.005356091370761199,0.5604651162790698,1.0051656410122451,0.2697616060225847,55.17440401505647,2.8666666666666667,150,1594,430
S5_Pivot,Range,IRAO,-0.42356393226647837,-0.06092633136111105,0.14384211383414072,-0.4279727943283505,-0.1423602905804498,0.5207920792079208,0.8671139224031499,0.31721105527638194,58.72613065326633,3.3443708609271523,151,1592,505
S5_Pivot,Range,LKOH,-0.5653521813121535,-0.07913408579628002,0.13997307945750537,-0.5941280471160527,-0.1331936544325815,0.4782608695652174,0.817256584668077,0.2741530740276035,48.534504391468005,3.672268907563025,119,1594,437
S5_Pivot,Range,LSRG,-0.5138028743238378,-0.08380108593778135,0.16309968302155414,-0.5345699691250538,-0.15676354972753337,0.4889380530973451,0.8325962661641982,0.28535353535353536,50.11363636363637,3.450381679389313,131,1584,452
S5_Pivot,Range,MGNT,-0.5669420596114518,-0.08110833901145599,0.14306283620418425,-0.6574835699176593,-0.1233617731643297,0.5038363171355499,0.8117943297236881,0.2452948557089084,45.0564617314931,3.2583333333333333,120,1594,391
S5_Pivot,Range,MOEX,-0.9569343205956017,-0.1173250387148798,0.12260511112388152,-0.8595945249255864,-0.136488815729761,0.5046082949308756,0.7261840778313123,0.2722710163111669,47.902132998745294,3.4173228346456694,127,1594,434
S5_Pivot,Range,MTLR,-0.49599198827801594,-0.09666714855694385,0.19489659277068708,-0.8211292659578213,-0.11772464161800965,0.5355191256830601,0.8212358576344279,0.22989949748743718,41.15577889447236,3.388888888888889,108,1592,366
S5_Pivot,Range,MTSS,-0.49648526322102005,-0.05339498141328471,0.10754595426836448,-0.5397165946039848,-0.09893151692410551,0.48429319371727747,0.8234018066839512,0.23979912115505336,43.186440677966104,3.4107142857142856,112,1593,382
S5_Pivot,Range,NVTK,-0.3109188088225342,-0.049256440400205805,0.15842219577111633,-0.46301718618301213,-0.1063814516395439,0.5081967213114754,0.9023388825119312,0.26855345911949685,46.91320754716981,3.6495726495726495,117,1590,427
S5_Pivot,Range,OGKB,-0.04488219974573228,-0.008080999690474242,0.18004910045084505,-0.39166669748787214,-0.020632338011644373,0.48333333333333334,0.9847863588767168,0.3022670025188917,49.8287153652393,3.779527559055118,127,1588,480
S5_Pivot,Range,PHOR,0.05449527877776332,0.0064657156224411354,0.11864726206482785,-0.3770238903077395,0.017149352570638435,0.5707434052757794,1.0197781310075822,0.2619346733668342,52.39447236180905,3.0,139,1592,417
S5_Pivot,Range,RTKM,0.034921515098374156,0.004339075536500119,0.12425221312067683,-0.26123590832358806,0.016609797498150166,0.5353260869565217,1.0129771560328868,0.23086574654956085,45.21455457967378,3.1452991452991452,117,1594,368
S5_Pivot,Range,SBER,-0.3565348339634506,-0.04647363223233691,0.13034808328742728,-0.5091143327085051,-0.09128329187885095,0.5279503105590062,0.8876885804114701,0.30301129234629864,52.96110414052698,3.5255474452554743,137,1594,483
S5_Pivot,Range,TATN,-0.7942721839159577,-0.12613965393456522,0.158811622122615,-0.967168148561821,-0.13042163777015908,0.49379652605459057,0.7424110302728696,0.25314070351758794,44.163316582914575,3.5043478260869567,115,1592,403
S5_Pivot,Range,VTBR,-0.38574941811735003,-0.06190169970606409,0.16047127176024095,-0.44765761088162315,-0.13827911823983963,0.5194805194805194,0.8741943161576854,0.29056603773584905,52.77735849056604,3.473684210526316,133,1590,462
S6_VWAP,Range,AFLT,-0.6627348691629266,-0.08441218707862375,0.1273694670468167,-0.714353353598513,-0.11816587218832572,0.47307692307692306,0.7410217050181521,0.16311166875784192,14.22835633626098,5.777777777777778,45,1594,260
S6_VWAP,Range,ALRS,0.040303294561595315,0.005614467449436406,0.13930542181497954,-0.5866115108680804,0.009571014795001203,0.5284552845528455,1.0149321208939353,0.2314930991217064,14.86072772898369,8.2,45,1594,369
