2026-02-06 14:32:02 | INFO     | train_classical | GARCH: Trained 0/17 tickers
2026-02-06 14:32:02 | INFO     | train_classical | Saved HAR predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/har_h22.parquet
2026-02-06 14:32:02 | INFO     | train_classical | 
--- Horizon 22 Summary ---
2026-02-06 14:32:02 | INFO     | train_classical | 
HAR Results (top 5):
2026-02-06 14:32:02 | INFO     | train_classical |   AFLT: RMSE=0.000372, R²=-2.9417, QLIKE=-7.2354
2026-02-06 14:32:02 | INFO     | train_classical |   ALRS: RMSE=0.000221, R²=-0.0173, QLIKE=-7.5944
2026-02-06 14:32:02 | INFO     | train_classical |   HYDR: RMSE=0.000385, R²=-0.0478, QLIKE=-7.3456
2026-02-06 14:32:02 | INFO     | train_classical |   IRAO: RMSE=0.000669, R²=-0.0175, QLIKE=-6.8655
2026-02-06 14:32:02 | INFO     | train_classical |   LKOH: RMSE=0.000167, R²=-0.0755, QLIKE=-7.7570
2026-02-06 14:32:02 | INFO     | train_classical | 
======================================================================
2026-02-06 14:32:02 | INFO     | train_classical | Classical model training complete!
2026-02-06 14:32:02 | INFO     | train_classical | ======================================================================
2026-02-06 14:35:07 | INFO     | train_classical | ======================================================================
2026-02-06 14:35:07 | INFO     | train_classical | Training Classical Models (HAR, GARCH-GJR)
2026-02-06 14:35:07 | INFO     | train_classical | Started: 2026-02-06 14:35:07.656417
2026-02-06 14:35:07 | INFO     | train_classical | ======================================================================
2026-02-06 14:35:07 | INFO     | train_classical | Loading features from /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/features/features_all.parquet
2026-02-06 14:35:07 | INFO     | train_classical | Loaded 50906 rows, 17 tickers
2026-02-06 14:35:07 | INFO     | train_classical | 
==================================================
2026-02-06 14:35:07 | INFO     | train_classical | Horizon: 1 days
2026-02-06 14:35:07 | INFO     | train_classical | ==================================================
2026-02-06 14:35:07 | INFO     | train_classical | 
--- Training HAR models ---
2026-02-06 14:35:07 | INFO     | train_classical | HAR: Trained 17/17 tickers
2026-02-06 14:35:07 | INFO     | train_classical | 
--- Training GARCH-GJR models ---
2026-02-06 14:35:17 | INFO     | train_classical | GARCH: Trained 17/17 tickers
