sharpe,ann_ret_pct,max_dd_pct,exposure_pct,n_trades,year,approach,strategy,timeframe,ticker,sigma_variant
0.0353,0.1,-1.86,1.29,1,2022,D,S6_VWAP,daily,LSRG,daily
0.7481,10.56,-5.26,4.33,2,2023,D,S6_VWAP,daily,LSRG,daily
-0.1628,-0.4,-2.24,1.95,1,2024,D,S6_VWAP,daily,LSRG,daily
0.0826,1.52,-14.56,5.16,4,2025,D,S6_VWAP,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,E,S6_VWAP,daily,LSRG,daily
1.0021,5.43,-0.85,1.97,2,2023,E,S6_VWAP,daily,LSRG,daily
-1.1067,-2.37,-2.41,0.78,1,2024,E,S6_VWAP,daily,LSRG,daily
-0.6556,-0.73,-1.3,0.65,2,2025,E,S6_VWAP,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,F,S6_VWAP,daily,LSRG,daily
1.0021,13.57,-2.12,1.97,2,2023,F,S6_VWAP,daily,LSRG,daily
-0.3944,-0.95,-2.24,1.56,1,2024,F,S6_VWAP,daily,LSRG,daily
-0.6968,-2.04,-3.45,0.65,2,2025,F,S6_VWAP,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,G,S6_VWAP,daily,LSRG,daily
1.0021,13.57,-2.12,1.97,2,2023,G,S6_VWAP,daily,LSRG,daily
-1.116,-3.2,-3.25,0.78,1,2024,G,S6_VWAP,daily,LSRG,daily
-0.6968,-2.04,-3.45,0.65,2,2025,G,S6_VWAP,daily,LSRG,daily
-0.9138,-1.98,-2.6,2.22,7,2020,A,S1_MeanRev,hourly,LSRG,v1_sqrt9
-0.2316,-0.59,-2.15,0.96,4,2021,A,S1_MeanRev,hourly,LSRG,v1_sqrt9
-1.1481,-0.82,-0.75,0.05,1,2022,A,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.718,0.77,-0.65,0.22,2,2023,A,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.412,1.15,-1.47,0.96,4,2024,A,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.5008,0.48,-0.69,0.57,3,2025,A,S1_MeanRev,hourly,LSRG,v1_sqrt9
-1.1481,-0.82,-0.75,0.05,1,2022,B,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.3703,1.35,-0.07,0.13,2,2023,B,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.4885,1.53,-1.47,1.13,4,2024,B,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.5596,0.6,-0.69,0.65,3,2025,B,S1_MeanRev,hourly,LSRG,v1_sqrt9
