strategy,timeframe,approach,ticker,sharpe_median
S6_VWAP,daily,G,NVTK,0.0
S6_VWAP,daily,G,OGKB,0.0
S6_VWAP,hourly,A,PHOR,-1.3931
S6_VWAP,hourly,A,MGNT,-1.2904
S6_VWAP,hourly,A,MTLR,-1.2843
S6_VWAP,hourly,A,LKOH,-1.0785
S6_VWAP,hourly,A,MOEX,-1.0403
S6_VWAP,hourly,B,MTLR,-1.5595
S6_VWAP,hourly,B,NVTK,-0.9793
S6_VWAP,hourly,B,MGNT,-0.9056
S6_VWAP,hourly,B,MOEX,-0.8844
S6_VWAP,hourly,B,LKOH,-0.8438
S6_VWAP,hourly,C,PHOR,-0.2528
S6_VWAP,hourly,C,MTLR,-0.2406
S6_VWAP,hourly,C,TATN,-0.1987
S6_VWAP,hourly,C,SBER,-0.0017
S6_VWAP,hourly,C,MGNT,0.0382
S6_VWAP,hourly,D,PHOR,-1.3809
S6_VWAP,hourly,D,MTLR,-1.2654
S6_VWAP,hourly,D,MGNT,-1.255
S6_VWAP,hourly,D,LKOH,-1.0938
S6_VWAP,hourly,D,MOEX,-0.9816
S6_VWAP,hourly,E,MTLR,-0.5522
S6_VWAP,hourly,E,PHOR,-0.0754
S6_VWAP,hourly,E,TATN,-0.0509
S6_VWAP,hourly,E,NVTK,-0.0333
S6_VWAP,hourly,E,MGNT,0.0382
S6_VWAP,hourly,F,PHOR,-0.2528
S6_VWAP,hourly,F,MTLR,-0.2271
S6_VWAP,hourly,F,TATN,-0.1159
S6_VWAP,hourly,F,SBER,-0.0017
S6_VWAP,hourly,F,MGNT,0.0382
S6_VWAP,hourly,G,MTLR,-0.56
S6_VWAP,hourly,G,NVTK,-0.0828
S6_VWAP,hourly,G,PHOR,-0.0742
S6_VWAP,hourly,G,TATN,0.005
S6_VWAP,hourly,G,MGNT,0.0382
