sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
-0.0066,-0.05,6.91,-5.33,3.22,15,33.3,2024,A,S4_Supertrend,hourly,LSRG
0.6992,5.77,8.26,-9.32,11.15,22,45.5,2025,A,S4_Supertrend,hourly,LSRG
0.6402,5.03,7.85,-5.15,2.65,15,40.0,2022,B,S4_Supertrend,hourly,LSRG
0.571,6.14,10.76,-6.81,7.7,18,55.6,2023,B,S4_Supertrend,hourly,LSRG
0.4553,2.73,6.0,-6.46,3.43,15,40.0,2024,B,S4_Supertrend,hourly,LSRG
0.641,5.13,8.0,-7.36,8.89,22,45.5,2025,B,S4_Supertrend,hourly,LSRG
1.3343,12.56,9.41,-3.0,3.91,14,42.9,2022,C,S4_Supertrend,hourly,LSRG
-0.7399,-4.52,6.11,-7.6,3.54,16,43.8,2023,C,S4_Supertrend,hourly,LSRG
0.0578,0.4,6.88,-5.33,3.09,15,33.3,2024,C,S4_Supertrend,hourly,LSRG
0.9675,6.71,6.93,-5.61,5.67,14,57.1,2025,C,S4_Supertrend,hourly,LSRG
1.3694,32.59,23.79,-6.74,3.96,15,40.0,2022,D,S4_Supertrend,hourly,LSRG
-1.1155,-6.91,6.2,-7.57,3.63,18,38.9,2023,D,S4_Supertrend,hourly,LSRG
-0.0049,-0.03,6.84,-5.23,3.22,15,33.3,2024,D,S4_Supertrend,hourly,LSRG
0.6749,5.35,7.93,-8.81,11.15,22,45.5,2025,D,S4_Supertrend,hourly,LSRG
0.641,5.89,9.19,-8.03,15.2,10,70.0,2020,A,S1_MeanRev,daily,LKOH
-0.1013,-0.67,6.65,-10.82,24.71,13,53.8,2021,A,S1_MeanRev,daily,LKOH
1.2024,15.0,12.47,-6.38,13.68,5,60.0,2022,A,S1_MeanRev,daily,LKOH
-0.5717,-6.54,11.45,-13.25,24.41,12,33.3,2023,A,S1_MeanRev,daily,LKOH
1.2892,12.46,9.67,-5.13,22.27,13,69.2,2024,A,S1_MeanRev,daily,LKOH
-0.9447,-5.5,5.82,-9.56,16.67,9,33.3,2025,A,S1_MeanRev,daily,LKOH
0.6421,7.68,11.96,-10.18,9.83,5,40.0,2022,B,S1_MeanRev,daily,LKOH
0.2802,3.1,11.06,-7.04,19.69,10,50.0,2023,B,S1_MeanRev,daily,LKOH
0.7271,7.44,10.24,-9.39,20.7,12,66.7,2024,B,S1_MeanRev,daily,LKOH
-0.8874,-6.55,7.38,-10.89,18.55,9,33.3,2025,B,S1_MeanRev,daily,LKOH
0.8274,4.62,5.58,-3.53,9.4,5,60.0,2022,C,S1_MeanRev,daily,LKOH
0.6306,5.52,8.76,-5.37,12.2,14,42.9,2023,C,S1_MeanRev,daily,LKOH
1.1441,9.87,8.63,-3.55,12.89,14,64.3,2024,C,S1_MeanRev,daily,LKOH
-0.3978,-1.44,3.62,-3.45,3.46,6,33.3,2025,C,S1_MeanRev,daily,LKOH
1.2024,18.37,15.27,-7.81,13.68,5,60.0,2022,D,S1_MeanRev,daily,LKOH
-0.5717,-4.63,8.09,-9.37,24.41,12,33.3,2023,D,S1_MeanRev,daily,LKOH
1.2892,22.89,17.76,-9.43,22.27,13,69.2,2024,D,S1_MeanRev,daily,LKOH
