sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
1.3574,2.6,1.91,-0.56,1.09,4,75.0,2024,A,S1_MeanRev,hourly,HYDR
1.3781,4.47,3.25,-3.1,1.68,13,84.6,2025,A,S1_MeanRev,hourly,HYDR
1.3538,8.66,6.4,-2.85,11.39,51,54.9,2022,B,S1_MeanRev,hourly,HYDR
0.6162,0.94,1.52,-1.07,0.96,16,56.2,2023,B,S1_MeanRev,hourly,HYDR
1.5073,2.91,1.93,-0.56,1.22,4,75.0,2024,B,S1_MeanRev,hourly,HYDR
1.6003,5.06,3.16,-2.01,1.51,13,76.9,2025,B,S1_MeanRev,hourly,HYDR
0.2998,0.6,2.0,-1.78,4.52,14,50.0,2022,C,S1_MeanRev,hourly,HYDR
0.4371,1.11,2.55,-2.43,3.19,12,58.3,2023,C,S1_MeanRev,hourly,HYDR
1.0179,7.84,7.7,-4.81,16.29,57,61.4,2022,D,S1_MeanRev,hourly,HYDR
0.2167,1.88,8.67,-7.85,4.42,15,60.0,2023,D,S1_MeanRev,hourly,HYDR
1.3548,2.53,1.87,-0.61,1.09,4,75.0,2024,D,S1_MeanRev,hourly,HYDR
1.4123,4.11,2.91,-2.89,1.68,13,84.6,2025,D,S1_MeanRev,hourly,HYDR
-0.6623,-6.05,9.14,-12.88,5.02,20,60.0,2020,A,S2_Bollinger,hourly,HYDR
0.9235,3.36,3.64,-2.3,6.27,24,70.8,2021,A,S2_Bollinger,hourly,HYDR
0.6059,2.77,4.56,-2.73,17.3,49,53.1,2022,A,S2_Bollinger,hourly,HYDR
