sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
0.1337,0.14,1.08,-0.4,1.95,2,2.0,100.0,2024,D,S6_VWAP,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,D,S6_VWAP,daily,MOEX
-1.1724,-4.62,3.94,-6.1,2.0,7,7.1,42.9,2020,A,S1_MeanRev,hourly,MOEX
0.3998,1.44,3.6,-1.86,1.74,4,4.0,50.0,2021,A,S1_MeanRev,hourly,MOEX
0.6344,1.97,3.11,-1.94,1.15,5,5.4,60.0,2022,A,S1_MeanRev,hourly,MOEX
-0.4084,-0.6,1.46,-2.09,1.4,2,2.0,50.0,2023,A,S1_MeanRev,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,A,S1_MeanRev,hourly,MOEX
-1.4368,-3.22,2.24,-4.88,0.56,4,3.2,25.0,2025,A,S1_MeanRev,hourly,MOEX
-0.4652,-1.69,3.63,-5.3,1.63,5,5.4,40.0,2022,B,S1_MeanRev,hourly,MOEX
-0.4084,-0.6,1.46,-2.09,1.4,2,2.0,50.0,2023,B,S1_MeanRev,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S1_MeanRev,hourly,MOEX
-1.3465,-3.0,2.23,-4.6,0.53,4,3.2,25.0,2025,B,S1_MeanRev,hourly,MOEX
